"filename", "language", "PHP", "CSS", "JSON", "JavaScript", "Vue", "XML", "Markdown", "comment", "blank", "total"
"c:\laragon\www\archivage-app\app\Models\Classeur.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\laragon\www\archivage-app\app\Models\Document.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 6, 15
"c:\laragon\www\archivage-app\app\Models\Service.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 4, 13
"c:\laragon\www\archivage-app\app\Models\Services_user.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 5, 17
"c:\laragon\www\archivage-app\app\Models\User.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 16, 7, 51
"c:\laragon\www\archivage-app\app\Providers\AppServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 8, 5, 25
"c:\laragon\www\archivage-app\app\Providers\AuthServiceProvider.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 11, 5, 27
"c:\laragon\www\archivage-app\app\Providers\BroadcastServiceProvider.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 3, 5, 20
"c:\laragon\www\archivage-app\app\Providers\EventServiceProvider.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 12, 6, 39
"c:\laragon\www\archivage-app\app\Providers\FortifyServiceProvider.php", "PHP", 48, 0, 0, 0, 0, 0, 0, 6, 12, 66
"c:\laragon\www\archivage-app\app\Providers\RouteServiceProvider.php", "PHP", 24, 0, 0, 0, 0, 0, 0, 10, 7, 41
"c:\laragon\www\archivage-app\bootstrap\app.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 35, 11, 64
"c:\laragon\www\archivage-app\composer.json", "JSON", 0, 0, 68, 0, 0, 0, 0, 0, 1, 69
"c:\laragon\www\archivage-app\composer.lock", "JSON", 0, 0, 8567, 0, 0, 0, 0, 0, 1, 8568
"c:\laragon\www\archivage-app\config\app.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 131, 31, 189
"c:\laragon\www\archivage-app\config\auth.php", "PHP", 28, 0, 0, 0, 0, 0, 0, 74, 14, 116
"c:\laragon\www\archivage-app\config\broadcasting.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 23, 13, 72
"c:\laragon\www\archivage-app\config\cache.php", "PHP", 59, 0, 0, 0, 0, 0, 0, 34, 19, 112
"c:\laragon\www\archivage-app\config\cors.php", "PHP", 11, 0, 0, 0, 0, 0, 0, 12, 12, 35
"c:\laragon\www\archivage-app\config\database.php", "PHP", 83, 0, 0, 0, 0, 0, 0, 47, 22, 152
"c:\laragon\www\archivage-app\config\filesystems.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 32, 13, 77
"c:\laragon\www\archivage-app\config\fortify.php", "PHP", 29, 0, 0, 0, 0, 0, 0, 105, 26, 160
"c:\laragon\www\archivage-app\config\hashing.php", "PHP", 14, 0, 0, 0, 0, 0, 0, 32, 9, 55
"c:\laragon\www\archivage-app\config\logging.php", "PHP", 79, 0, 0, 0, 0, 0, 0, 34, 19, 132
"c:\laragon\www\archivage-app\config\mail.php", "PHP", 61, 0, 0, 0, 0, 0, 0, 54, 20, 135
"c:\laragon\www\archivage-app\config\queue.php", "PHP", 51, 0, 0, 0, 0, 0, 0, 42, 17, 110
"c:\laragon\www\archivage-app\config\sanctum.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 53, 14, 84
"c:\laragon\www\archivage-app\config\services.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 11, 7, 35
"c:\laragon\www\archivage-app\config\session.php", "PHP", 23, 0, 0, 0, 0, 0, 0, 157, 35, 215
"c:\laragon\www\archivage-app\config\view.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 20, 7, 37
"c:\laragon\www\archivage-app\package-lock.json", "JSON", 0, 0, 1354, 0, 0, 0, 0, 0, 1, 1355
"c:\laragon\www\archivage-app\package.json", "JSON", 0, 0, 17, 0, 0, 0, 0, 0, 1, 18
"c:\laragon\www\archivage-app\phpunit.xml", "XML", 0, 0, 0, 0, 0, 30, 0, 2, 1, 33
"c:\laragon\www\archivage-app\public\assets\bootstrap\css\bootstrap.min.css", "CSS", 0, 2, 0, 0, 0, 0, 0, 4, 1, 7
